,qn1d,qn1f,qn1c,qn1h,qn2b,qn4b,qn4c,qn4e,qn1jyear,ui_lpr,ui_work
52,22.0,1,4.0,6,1.0,3.0,1.0,2.0,2017.0,1.0,1.0
53,30.0,1,4.0,97,4.0,4.0,1.0,2.0,2016.0,1.0,1.0
54,29.0,2,1.0,97,2.0,4.0,1.0,2.0,2016.0,1.0,1.0
55,8.0,1,2.5008455467869224,97,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
56,1.0,2,2.5008455467869224,24,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
57,32.0,1,1.0,97,5.0,4.0,1.0,2.0,2016.0,1.0,1.0
58,45.0,2,3.0,10,5.0,2.0,1.0,1.0,2015.0,1.0,2.0
59,35.0,1,1.0,9,6.0,2.0,2.0,1.0,2016.0,2.0,1.0
60,45.0,2,1.0,5,6.0,3.0,1.0,1.0,2015.0,1.0,1.0
61,46.0,1,1.0,5,5.0,3.0,1.0,1.0,2015.0,1.0,1.0
62,57.0,2,1.0,22,4.0,3.0,2.0,1.0,2014.0,1.0,3.0
63,69.0,1,1.0,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2018.0,13.358652575957727,5.712727272727273
64,64.0,1,1.0,22,4.0,3.0,1.0,1.0,2014.0,1.0,1.0
65,64.0,2,1.0,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2018.0,13.358652575957727,5.712727272727273
66,57.0,2,1.0,22,5.0,3.0,1.0,2.0,2018.0,1.0,1.0
67,26.0,1,4.0,22,6.0,2.0,2.0,1.0,2018.0,1.0,1.0
68,59.0,1,1.0,22,4.0,4.0,1.0,8.0,2018.0,1.0,1.0
69,31.0,1,1.0,22,6.0,2.0,2.0,1.0,2018.0,1.0,2.0
70,29.0,1,1.0,22,5.0,2.0,1.0,1.0,2016.0,1.0,2.0
71,52.0,2,1.0,98,4.0,3.0,2.0,1.0,2014.0,2.0,1.0
72,47.0,1,1.0,98,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2014.0,13.358652575957727,5.712727272727273
73,19.0,2,7.0,98,1.0,3.0,1.0,1.0,2018.0,2.0,3.0
74,23.0,1,7.0,98,1.0,3.0,1.0,1.0,2018.0,2.0,1.0
75,26.0,2,1.0,98,1.0,2.0,1.0,2.0,2018.0,2.0,3.0
76,73.0,1,1.0,98,1.0,4.0,1.0,1.0,2018.0,2.0,3.0
77,55.0,2,1.0,98,1.0,4.0,1.0,2.0,2018.0,2.0,3.0
78,998.0,2,2.5008455467869224,6,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
79,25.0,2,4.0,6,1.0,3.0,1.0,1.0,2017.0,1.0,2.0
80,28.0,1,4.0,99,5.0,2.0,1.0,1.0,2017.0,1.0,1.0
81,30.0,2,4.0,6,1.0,4.0,1.0,1.0,2017.0,1.0,3.0
82,22.0,2,4.0,99,5.0,2.0,1.0,2.0,2017.0,1.0,1.0
83,22.0,1,4.0,97,5.0,2.0,1.0,2.0,2015.0,1.0,2.0
84,52.0,1,4.0,5,5.0,4.0,1.0,1.0,2014.0,1.0,1.0
85,12.0,1,2.5008455467869224,96,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
86,45.0,2,1.0,97,1.0,4.0,1.0,1.0,2017.0,1.0,1.0
87,55.0,1,1.0,96,1.0,4.0,1.0,1.0,2017.0,1.0,1.0
88,998.0,1,7.0,97,1.0,2.0,1.0,1.0,2016.0,1.0,1.0
89,17.0,1,4.0,96,2.0,3.0,2.0,6.0,2017.0,1.0,3.0
90,12.0,1,2.5008455467869224,96,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
91,50.0,2,1.0,96,98.0,4.0,1.0,1.0,2017.0,1.0,3.0
92,998.0,2,2.5008455467869224,96,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
93,40.0,1,1.0,96,3.0,2.0,2.0,1.0,2017.0,1.0,2.0
94,7.0,1,2.5008455467869224,97,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
95,33.0,2,1.0,97,5.0,3.0,1.0,1.0,2017.0,1.0,1.0
96,10.0,1,2.5008455467869224,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
97,8.0,1,2.5008455467869224,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
98,33.0,2,1.0,22,6.0,1.0,1.0,1.0,2017.0,1.0,1.0
99,36.0,1,1.0,22,4.0,2.0,1.0,1.0,2017.0,1.0,1.0
100,18.0,2,4.0,97,1.0,2.0,1.0,1.0,2016.0,1.0,3.0
